t_rel_Driving Module Battery Temperature in 1/10 Degree,Driving Module Battery Temperature in 1/10 Degree,t_rel_Pool Temperature FM-Battery in 1/10 Degree,Pool Temperature FM-Battery in 1/10 Degree
2.01053,206.0,1.543314,158.0
2.91008,207.0,1.543317,158.0
4.117805,206.0,2.52816,159.0
4.518004,207.0,2.528166,159.0
8.818123,206.0,4.728357,158.0
9.218178,207.0,4.728361,158.0
,,5.629168,159.0
,,5.629171,159.0
,,6.229906,158.0
,,6.22991,158.0
,,7.230101,159.0
,,7.230105,159.0
,,9.332777,160.0
,,9.332781,160.0
,,9.932524,159.0
,,9.932528,159.0
