t_rel_FM-Total Voltage in 1/10V,FM-Total Voltage in 1/10V,t_rel_FM-Center Voltage PG2 in 1/10V,FM-Center Voltage PG2 in 1/10V,t_rel_FM-Center Voltage PG4 in 1/10V,FM-Center Voltage PG4 in 1/10V
0.082453,245.0,0.093354,123.0,0.110108,122.0
0.333205,245.0,0.34281,123.0,0.360128,121.0
0.583275,220.0,0.593229,110.0,0.610329,120.0
0.833054,220.0,0.842728,110.0,0.86018,120.0
1.08299,231.0,1.093057,115.0,1.110242,114.0
1.333244,231.0,1.342775,115.0,1.360524,114.0
1.583087,239.0,1.593367,120.0,1.609675,117.0
1.833145,239.0,1.84293,120.0,1.860178,117.0
2.082828,241.0,2.093103,121.0,2.110631,122.0
2.333398,243.0,2.342611,121.0,2.360406,122.0
2.583376,243.0,2.59313,122.0,2.611299,122.0
2.833129,243.0,2.84321,122.0,2.861406,122.0
3.08333,244.0,3.093306,122.0,3.111155,122.0
3.333198,244.0,3.342459,122.0,3.361431,122.0
3.583401,244.0,3.593455,122.0,3.611205,122.0
3.833198,244.0,3.842885,122.0,3.861529,122.0
4.083401,244.0,4.093155,122.0,4.111407,122.0
4.333373,244.0,4.342634,122.0,4.361079,122.0
4.583173,244.0,4.593204,122.0,4.611454,122.0
4.833323,244.0,4.84296,122.0,4.861528,122.0
5.083241,244.0,5.093215,122.0,5.111265,129.0
5.33324,279.0,5.342844,138.0,5.361373,136.0
5.583161,279.0,5.593368,138.0,5.611186,136.0
5.833452,280.0,5.842704,136.0,5.861219,136.0
6.083275,280.0,6.09313,136.0,6.111301,136.0
6.333281,280.0,6.342935,134.0,6.361324,134.0
6.583123,280.0,6.593529,134.0,6.61115,134.0
6.83323,281.0,6.842535,134.0,6.86118,133.0
7.083525,281.0,7.093255,134.0,7.11153,133.0
7.33353,282.0,7.342809,133.0,7.361203,133.0
7.583223,282.0,7.59353,133.0,7.611229,133.0
7.833455,284.0,7.843459,134.0,7.861528,133.0
8.0833,284.0,8.09353,134.0,8.11138,133.0
8.333431,285.0,8.34271,134.0,8.361447,133.0
8.583529,285.0,8.59333,134.0,8.611355,133.0
8.833373,286.0,8.842534,134.0,8.861304,133.0
9.083576,286.0,9.09328,134.0,9.11153,133.0
9.336081,287.0,9.343129,134.0,9.361535,134.0
9.585629,287.0,9.593555,134.0,9.61138,134.0
9.835401,287.0,9.842878,134.0,9.861406,134.0
