start_index,start_time,can_tapper_id,start_color,group,V_pre_1_10V,V_min_1_10V,V_at_Iload_1_10V,V_drop_pct,soc_pct_est,V_ocv_1_10V,V_ocv_slope_mV_per_s,n_ocv_samples,ocv_window_start_s,ocv_window_end_s,soc_pct_est_ocv,I_pre_A,I_load_A,delta_I_A,t_load_s,R_internal_est_ohm,R_internal_est_ohm_min_voltage_method,R_internal_est_ohm_from_ocv,R_method,t_min_s,t_recovery_s,tau_relax_s,V_inf_1_10V,relax_fit_r2,n_relax_samples,max_abs_imbalance_pct,mean_abs_imbalance_pct,temp_avg_start_C,I_mean_post_A,I_max_post_A,t_charge_onset_s,n_current_samples_crank,n_current_samples_post,t_before_s,t_after_s,V_rec_1s_1_10V,V_rec_2s_1_10V,V_rec_5s_1_10V,V_rec_10s_1_10V,V_rec_30s_1_10V,V_rec_60s_1_10V,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,FILE_NAME_ORIGIN
0,2021-12-02 14:07:38.655817,can_tapper11,"rgb(228,26,28)",PG1_est,123.0,117.0,117.0,4.878048780487805,68.33333333333339,123.0,0.8166936963085989,1500,-35.019999999991406,-5.019999999991406,68.33333333333339,0.0,276.0,276.0,0.93817,0.0021739130434782,0.0021739130434782,0.0021739130434782,synchronized_peak_current_voltage_drop,0.920000000009523,0.0200000000000031,119.99999999999996,109.80635116643712,0.1612758028022027,3169,1.2345679012345678,0.2948961681582475,21.15,-33.2520325203252,13.0,39.151445,6,123,60.0,120.0,117.0,121.0,120.0,143.0,145.0,125.0,41.487014,62.30897,,1248,151,265,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-26_CP-32\20220927\can_Tapper11-12-02-14-06-56.pcap.gz
0,2021-12-02 14:07:38.655817,can_tapper11,"rgb(228,26,28)",PG2,124.0,118.0,118.0,4.838709677419355,78.00000000000004,124.0,-3.711201649422295,1500,-35.019999999991406,-5.019999999991406,78.00000000000004,0.0,276.0,276.0,0.93817,0.0021739130434782,0.0021739130434782,0.0021739130434782,synchronized_peak_current_voltage_drop,0.920000000009523,0.0200000000000031,119.99999999999996,109.25931145362456,0.2210934193923186,3169,1.2345679012345678,0.384570552127491,21.15,-33.2520325203252,13.0,39.151445,6,123,60.0,120.0,118.0,121.0,124.0,143.0,141.0,126.0,41.487014,62.30897,,1248,151,265,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-26_CP-32\20220927\can_Tapper11-12-02-14-06-56.pcap.gz
0,2021-12-02 14:07:38.655817,can_tapper11,"rgb(228,26,28)",PG3_est,123.0,117.0,117.0,4.878048780487805,68.33333333333339,123.0,-2.304889913283845,1500,-35.019999999991406,-5.019999999991406,68.33333333333339,0.0,276.0,276.0,0.93817,0.0021739130434782,0.0021739130434782,0.0021739130434782,synchronized_peak_current_voltage_drop,0.920000000009523,0.0200000000000031,119.99999999999996,104.78149881576611,0.2229350616372923,3169,1.2345679012345678,0.2439407541455087,21.15,-33.2520325203252,13.0,39.151445,6,123,60.0,120.0,117.0,121.0,124.0,146.0,145.0,126.0,41.487014,62.30897,,1248,151,265,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-26_CP-32\20220927\can_Tapper11-12-02-14-06-56.pcap.gz
0,2021-12-02 14:07:38.655817,can_tapper11,"rgb(228,26,28)",PG4,123.0,117.0,117.0,4.878048780487805,68.33333333333339,123.0,-2.304889913283845,1500,-35.019999999991406,-5.019999999991406,68.33333333333339,0.0,276.0,276.0,0.93817,0.0021739130434782,0.0021739130434782,0.0021739130434782,synchronized_peak_current_voltage_drop,0.920000000009523,0.0200000000000031,119.99999999999996,104.78149881576611,0.2229350616372923,3169,1.2345679012345678,0.2439407541455087,21.15,-33.2520325203252,13.0,39.151445,6,123,60.0,120.0,117.0,121.0,124.0,146.0,145.0,126.0,41.487014,62.30897,,1248,151,265,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-26_CP-32\20220927\can_Tapper11-12-02-14-06-56.pcap.gz
1,2021-12-02 14:36:30.387233,can_tapper11,"rgb(55,126,184)",PG1_est,123.0,115.0,115.0,6.504065040650407,68.33333333333339,124.0,-5.776302684149814,1097,-26.939999999994832,-5.019999999991406,78.00000000000004,0.0,274.0,274.0,0.93232,0.002919708029197,0.002919708029197,0.0032846715328467,synchronized_peak_current_voltage_drop,0.940000000009526,0.0400000000000062,3.678623825607137,144.2390244967495,0.9107976788660952,5952,4.3478260869565215,1.074673129908222,18.75,-15.643086816720258,-4.0,,7,311,60.0,120.0,118.0,122.0,127.0,145.0,144.0,144.0,24.953351,119.900029,1731.731416,1740,364,464,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-26_CP-32\20220927\can_Tapper11-12-02-14-36-05.pcap.gz
1,2021-12-02 14:36:30.387233,can_tapper11,"rgb(55,126,184)",PG2,124.0,118.0,121.0,4.838709677419355,78.00000000000004,124.0,-2.387158482671025,1097,-26.939999999994832,-5.019999999991406,78.00000000000004,0.0,274.0,274.0,0.93232,0.0010948905109489,0.0021897810218978,0.0010948905109489,synchronized_peak_current_voltage_drop,0.9800000000095324,0.0200000000000031,3.678623825607137,141.91655047221548,0.87471313696241,5950,2.542372881355932,0.2533050457208926,18.75,-15.643086816720258,-4.0,,7,311,60.0,120.0,118.0,122.0,128.0,144.0,142.0,142.0,24.953351,119.900029,1731.731416,1740,364,464,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-26_CP-32\20220927\can_Tapper11-12-02-14-36-05.pcap.gz
1,2021-12-02 14:36:30.387233,can_tapper11,"rgb(55,126,184)",PG3_est,124.0,118.0,118.0,4.838709677419355,78.00000000000004,124.0,-1.3031359216939804,1097,-26.939999999994832,-5.019999999991406,78.00000000000004,0.0,274.0,274.0,0.93232,0.0021897810218978,0.0021897810218978,0.0021897810218978,synchronized_peak_current_voltage_drop,0.7200000000094917,0.0200000000000031,3.2620894576029285,142.20026052544378,0.8158293029939803,5963,2.277432712215321,0.4780831156661222,18.75,-15.643086816720258,-4.0,,7,311,60.0,120.0,118.0,122.0,131.0,146.0,142.0,142.0,24.953351,119.900029,1731.731416,1740,364,464,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-26_CP-32\20220927\can_Tapper11-12-02-14-36-05.pcap.gz
1,2021-12-02 14:36:30.387233,can_tapper11,"rgb(55,126,184)",PG4,124.0,118.0,118.0,4.838709677419355,78.00000000000004,124.0,-1.3031359216939804,1097,-26.939999999994832,-5.019999999991406,78.00000000000004,0.0,274.0,274.0,0.93232,0.0021897810218978,0.0021897810218978,0.0021897810218978,synchronized_peak_current_voltage_drop,0.7200000000094917,0.0200000000000031,3.2620894576029285,142.20026052544378,0.8158293029939803,5963,2.277432712215321,0.4780831156661222,18.75,-15.643086816720258,-4.0,,7,311,60.0,120.0,118.0,122.0,131.0,146.0,142.0,142.0,24.953351,119.900029,1731.731416,1740,364,464,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-26_CP-32\20220927\can_Tapper11-12-02-14-36-05.pcap.gz
2,2021-12-02 15:16:49.672519,can_tapper11,"rgb(77,175,74)",PG1_est,121.0,105.0,127.0,13.223140495867767,52.857142857142826,122.0,0.0073688921640932,1500,-35.019999999991406,-5.019999999991406,60.0,5.0,488.0,483.0,0.64648,,0.0033126293995859,,synchronized_peak_current_voltage_drop,0.6800000000094855,0.5000000000000782,2.892719705486028,144.7256124779835,0.9011229297244518,1668,10.19522776572668,2.016189671610193,18.56714285714286,-67.56842105263158,138.0,2.147975,6,95,60.0,120.0,108.0,115.0,139.0,148.0,145.0,,59.970895,32.108548,2419.285286,1107,151,219,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-26_CP-32\20220927\can_Tapper11-12-02-14-36-05.pcap.gz
2,2021-12-02 15:16:49.672519,can_tapper11,"rgb(77,175,74)",PG2,122.0,110.0,116.0,9.836065573770492,60.0,123.0,-3.7566594474033232,1500,-35.019999999991406,-5.019999999991406,68.33333333333339,5.0,488.0,483.0,0.64648,0.0012422360248447,0.0024844720496894,0.0014492753623188,synchronized_peak_current_voltage_drop,0.7400000000094948,0.7400000000001157,2.27471676670449,142.0419871100494,0.8580023371857115,1668,5.694760820045558,0.7769391581502922,18.56714285714286,-67.56842105263158,138.0,2.147975,6,95,60.0,120.0,113.0,116.0,141.0,144.0,141.0,,59.970895,32.108548,2419.285286,1107,151,219,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-26_CP-32\20220927\can_Tapper11-12-02-14-36-05.pcap.gz
