start_index,start_time,can_tapper_id,window_start,window_end,temp_avg_start_C,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,FILE_NAME_ORIGIN
0,2022-07-04 10:09:45.209737,can_tapper14,2022-07-04 10:08:45.209737,2022-07-04 10:11:45.209737,,0.902378,119.929435,,1452,295,476,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-04-10-09-44.pcap.gz
1,2022-07-05 07:27:36.809784,can_tapper14,2022-07-05 07:26:36.809784,2022-07-05 07:29:36.809784,18.25,36.246088,119.849145,76671.600047,1875,324,558,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-05-07-27-00.pcap.gz
2,2022-07-05 08:07:48.210653,can_tapper14,2022-07-05 08:06:48.210653,2022-07-05 08:09:48.210653,18.10833333333333,59.881974,118.992275,2411.400869,1760,353,384,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-05-08-07-28.pcap.gz
3,2022-07-12 14:29:58.682779,can_tapper14,2022-07-12 14:28:58.682779,2022-07-12 14:31:58.682779,17.5,18.406696,119.934405,627730.472126,1662,355,576,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-12-14-29-40.pcap.gz
4,2022-07-21 09:39:33.289646,can_tapper14,2022-07-21 09:38:33.289646,2022-07-21 09:41:33.289646,21.925,39.489032,119.854139,760174.606867,1914,348,518,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-09-38-53.pcap.gz
5,2022-07-21 10:57:18.413465,can_tapper14,2022-07-21 10:56:18.413465,2022-07-21 10:59:18.413465,23.625,35.197455,119.926479,4665.123819,1863,368,526,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-10-56-43.pcap.gz
6,2022-07-21 11:24:13.197936,can_tapper14,2022-07-21 11:23:13.197936,2022-07-21 11:26:13.197936,23.93333333333333,59.874299,119.813975,1614.784471,2157,404,719,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-10-56-43.pcap.gz
7,2022-07-21 11:25:25.830111,can_tapper14,2022-07-21 11:24:25.830111,2022-07-21 11:27:25.830111,23.97,59.957244,119.985452,72.632175,2160,427,875,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-10-56-43.pcap.gz
8,2022-07-21 11:33:39.581684,can_tapper14,2022-07-21 11:32:39.581684,2022-07-21 11:35:39.581684,24.103333333333335,59.997795,119.985631,493.751573,2159,458,795,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-10-56-43.pcap.gz
9,2022-07-21 11:35:43.131064,can_tapper14,2022-07-21 11:34:43.131064,2022-07-21 11:37:43.131064,24.146666666666665,59.989056,119.858871,123.54938,2119,425,487,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-10-56-43.pcap.gz
10,2022-07-21 11:38:11.316509,can_tapper14,2022-07-21 11:37:11.316509,2022-07-21 11:40:11.316509,24.55,59.941496,119.968824,148.185445,2159,422,454,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-10-56-43.pcap.gz
11,2022-07-21 11:41:47.651865,can_tapper14,2022-07-21 11:40:47.651865,2022-07-21 11:43:47.651865,24.491666666666667,59.931832,119.990997,216.335356,2159,426,461,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-10-56-43.pcap.gz
12,2022-07-21 11:46:50.438466,can_tapper14,2022-07-21 11:45:50.438466,2022-07-21 11:48:50.438466,24.675,59.950505,79.68619,302.786601,1677,317,557,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-10-56-43.pcap.gz
13,2022-07-21 11:51:19.502426,can_tapper14,2022-07-21 11:50:19.502426,2022-07-21 11:53:19.502426,24.675,59.934713,119.981639,269.06396,2160,378,756,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-11-50-00.pcap.gz
14,2022-07-21 11:54:47.461772,can_tapper14,2022-07-21 11:53:47.461772,2022-07-21 11:56:47.461772,24.78333333333333,59.984107,112.901388,207.959346,2075,428,778,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-11-50-00.pcap.gz
15,2022-07-21 11:58:49.915159,can_tapper14,2022-07-21 11:57:49.915159,2022-07-21 12:00:49.915159,28.46666666666667,40.872886,119.971009,242.453387,1932,308,406,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-11-58-08.pcap.gz
16,2022-07-21 12:03:38.473659,can_tapper14,2022-07-21 12:02:38.473659,2022-07-21 12:05:38.473659,24.955000000000002,59.837542,119.823032,288.5585,2157,416,653,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-11-58-08.pcap.gz
17,2022-07-21 12:08:10.420517,can_tapper14,2022-07-21 12:07:10.420517,2022-07-21 12:10:10.420517,25.025,53.116728,119.983562,271.946858,2079,355,486,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-12-07-17.pcap.gz
18,2022-07-21 12:11:27.602009,can_tapper14,2022-07-21 12:10:27.602009,2022-07-21 12:13:27.602009,28.76666666666667,21.3014,119.803173,197.181492,1695,318,427,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-12-11-06.pcap.gz
19,2022-07-21 12:13:45.863182,can_tapper14,2022-07-21 12:12:45.863182,2022-07-21 12:15:45.863182,25.1,59.980732,119.850649,138.261173,2158,433,602,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-07-21-12-11-06.pcap.gz
