start_index,start_time,can_tapper_id,start_color,V_pre_total_1_10V,V_min_total_1_10V,V_ocv_total_1_10V,V_drop_total_pct,soc_pct_est_pack,soc_pct_est_ocv_pack,V_ocv_slope_mV_per_s_max,n_ocv_samples_min,temp_avg_start_C,I_pre_A,I_load_A,delta_I_A,t_load_s,I_mean_post_A,I_max_post_A,t_charge_onset_s,R_internal_est_ohm_pack,R_internal_est_ohm_min_voltage_method_pack,R_internal_est_ohm_from_ocv_pack,max_abs_imbalance_pct_pack,mean_abs_imbalance_pct_pack,t_recovery_s_max,tau_relax_s_median,relax_fit_r2_min,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,t_before_s,t_after_s
0,2020-03-03 08:59:39.166892,can_tapper15,"rgb(228,26,28)",506.5,456.0,498.0,9.970384995064165,96.87500000000001,82.25000000000004,69.42239840277549,637,6.419658119658119,11.0,475.0,464.0,0.825232,3.9173871277617676,119.0,2.327886,0.0016163793103448276,0.010883620689655172,,25.925925925925927,2.6802546026388163,0.0800000000000125,8.344627216310286,0.008117264782523614,15.755778,119.981067,,12832,2265,2628,60.0,120.0
1,2020-03-03 10:21:54.837632,can_tapper15,"rgb(55,126,184)",499.5,423.0,499.0,15.315315315315313,87.49999999999999,85.25000000000003,1.9271475231765682,1500,9.539090909090909,8.0,284.0,276.0,1.405918,-7.195348837209302,12.0,2.001531,,0.027717391304347826,,31.764705882352942,1.9813345084194562,0.0800000000000125,1.5862030873085784,0.003622999286703621,59.935637,119.997604,4935.67074,10793,1907,2868,60.0,120.0
2,2020-03-03 11:44:36.716817,can_tapper15,"rgb(77,175,74)",496.5,429.0,496.0,13.595166163141995,79.43750000000001,78.00000000000004,5.0088644483836315,1500,10.273333333333333,1.5,499.0,497.5,0.871479,-9.690080428954424,10.0,2.090709,0.0028140703517587936,0.013567839195979899,0.0028140703517587936,20.92130518234165,3.3183349237945228,0.06000000000000938,2.7289468883321724,0.0008376447084104122,59.980143,119.999418,4961.879185,15114,2851,2631,60.0,120.0
3,2020-03-03 11:44:36.716817,can_tapper15,"rgb(152,78,163)",496.5,429.0,496.0,13.595166163141995,79.43750000000001,78.00000000000004,5.0088644483836315,1500,10.273333333333333,1.5,499.0,497.5,0.871479,-9.690080428954424,10.0,2.090709,0.0028140703517587936,0.013567839195979899,0.0028140703517587936,20.92130518234165,3.3183349237945228,0.06000000000000938,2.7289468883321724,0.0008376447084104122,59.980143,119.999418,0.0,15114,2851,2631,60.0,120.0
4,2020-03-03 12:01:10.944926,can_tapper15,"rgb(255,127,0)",500.0,443.0,499.0,11.4,88.25000000000004,87.00000000000001,1.6324185032969156,1500,11.71,4.0,499.0,495.0,0.986767,-7.217178770949721,11.0,2.10978,,0.011515151515151515,,16.78832116788321,3.0833376691063235,0.04000000000000625,10.849032074111987,0.0027068207189711035,59.987936,119.999769,994.228109,15113,2172,2366,60.0,120.0
5,2020-03-03 12:23:05.024802,can_tapper15,"rgb(255,255,51)",496.0,452.0,497.0,8.870967741935484,78.00000000000004,81.00000000000004,9.464368650828925,1500,12.283333333333333,5.0,497.0,492.0,0.780285,-3.9658505154639174,11.0,2.066962,0.0006097560975609756,0.00894308943089431,0.0008130081300813008,22.09737827715356,4.074375294795133,0.06000000000000938,54.214712268142705,0.0020154657861108927,59.991082,119.98012,1314.079876,15106,2327,1255,60.0,120.0
6,2020-03-03 13:21:57.432064,can_tapper15,"rgb(166,86,40)",542.5,411.0,546.0,24.23963133640553,100.0,100.0,33.73874388388102,1500,16.72142857142857,-6.0,471.0,477.0,0.529595,-22.874207188160675,132.0,2.027977,0.014779874213836478,0.027568134171907756,0.01551362683438155,38.96907216494845,4.993222876679147,0.0800000000000125,1.4167642426804665,0.0008643674435592219,59.924404,119.995636,3532.407262,17263,2686,2518,60.0,120.0
7,2020-03-03 13:21:57.432064,can_tapper15,"rgb(247,129,191)",542.5,411.0,546.0,24.23963133640553,100.0,100.0,33.73874388388102,1500,16.72142857142857,-6.0,471.0,477.0,0.529595,-22.874207188160675,132.0,2.027977,0.014779874213836478,0.027568134171907756,0.01551362683438155,38.96907216494845,4.993222876679147,0.0800000000000125,1.4167642426804665,0.0008643674435592219,59.924404,119.995636,0.0,17263,2686,2518,60.0,120.0
8,2020-03-03 14:03:16.893339,can_tapper15,"rgb(153,153,153)",500.0,427.0,498.0,14.6,90.0,84.58333333333334,8.256972558653256,1500,17.995128205128204,-13.0,497.0,510.0,0.777101,-33.42772612003381,193.0,2.276928,,0.01431372549019608,,29.608938547486034,2.6125108209223002,0.06000000000000938,4.67804510221319,0.012077614542105763,59.997476,119.988612,2479.461275,17265,1709,2579,60.0,120.0
9,2020-03-03 14:06:24.201661,can_tapper15,"rgb(228,26,28)",528.0,435.0,512.0,17.613636363636363,97.5,92.5,5.996784887459275,1500,16.03318181818182,-12.0,495.0,507.0,0.98027,-21.566027397260275,462.0,2.390722,0.003550295857988166,0.018343195266272188,0.0007889546351084813,22.09737827715356,4.642606106298893,0.04000000000000625,119.99999999999996,0.0012380195993864085,59.990316,119.974023,187.308322,17276,2679,2840,60.0,120.0
