start_index,start_time,can_tapper_id,start_color,group,V_pre_1_10V,V_min_1_10V,V_at_Iload_1_10V,V_drop_pct,soc_pct_est,V_ocv_1_10V,V_ocv_slope_mV_per_s,n_ocv_samples,ocv_window_start_s,ocv_window_end_s,soc_pct_est_ocv,I_pre_A,I_load_A,delta_I_A,t_load_s,R_internal_est_ohm,R_internal_est_ohm_min_voltage_method,R_internal_est_ohm_from_ocv,R_method,t_min_s,t_recovery_s,tau_relax_s,V_inf_1_10V,relax_fit_r2,n_relax_samples,max_abs_imbalance_pct,mean_abs_imbalance_pct,temp_avg_start_C,I_mean_post_A,I_max_post_A,t_charge_onset_s,n_current_samples_crank,n_current_samples_post,t_before_s,t_after_s,V_rec_1s_1_10V,V_rec_2s_1_10V,V_rec_5s_1_10V,V_rec_10s_1_10V,V_rec_30s_1_10V,V_rec_60s_1_10V,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,FILE_NAME_ORIGIN
0,2022-05-31 10:28:34.824753,can_tapper15,"rgb(228,26,28)",PG1_est,119.0,97.0,108.0,18.487394957983195,40.0,118.0,2.3941699529643947,1500,-35.019999999991406,-5.019999999991406,40.0,30.5,494.0,463.5,0.691244,0.0023732470334412083,0.004746494066882417,0.002157497303128371,synchronized_peak_current_voltage_drop,0.6400000000094792,0.5000000000000782,5.948992616750902,139.25743977119538,0.9437703844147958,5967,11.212814645308924,1.712726293022865,11.725,-182.2378048780488,142.0,2.197057,6,328,60.0,120.0,108.0,114.0,118.0,134.0,139.0,139.0,59.997482,119.891629,,2158,403,476,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-10-05-31.pcap.gz
0,2022-05-31 10:28:34.824753,can_tapper15,"rgb(228,26,28)",PG2,118.0,107.0,107.0,9.322033898305085,40.0,119.0,-2.697058976470189,1500,-35.019999999991406,-5.019999999991406,40.0,30.5,494.0,463.5,0.691244,0.0023732470334412083,0.0023732470334412083,0.0025889967637540453,synchronized_peak_current_voltage_drop,0.6800000000094855,1.0000000000001563,5.948992616750902,140.8786064411818,0.9543307756178991,5965,8.009153318077804,0.9699238032422636,11.725,-182.2378048780488,142.0,2.197057,6,328,60.0,120.0,107.0,114.0,118.0,134.0,141.0,140.0,59.997482,119.891629,,2158,403,476,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-10-05-31.pcap.gz
0,2022-05-31 10:28:34.824753,can_tapper15,"rgb(228,26,28)",PG3_est,118.0,104.0,104.0,11.864406779661017,40.0,119.0,-2.45416997963068,1500,-35.019999999991406,-5.019999999991406,40.0,30.5,494.0,463.5,0.691244,0.0030204962243797194,0.0030204962243797194,0.003236245954692557,synchronized_peak_current_voltage_drop,0.7000000000094886,1.0000000000001563,5.275382050040925,139.6067184047278,0.961426770618231,5964,3.9260969976905313,1.044838777769567,11.725,-182.2378048780488,142.0,2.197057,6,328,60.0,120.0,104.0,113.0,118.0,134.0,139.0,139.0,59.997482,119.891629,,2158,403,476,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-10-05-31.pcap.gz
0,2022-05-31 10:28:34.824753,can_tapper15,"rgb(228,26,28)",PG4,118.0,104.0,104.0,11.864406779661017,40.0,119.0,-2.45416997963068,1500,-35.019999999991406,-5.019999999991406,40.0,30.5,494.0,463.5,0.691244,0.0030204962243797194,0.0030204962243797194,0.003236245954692557,synchronized_peak_current_voltage_drop,0.7000000000094886,1.0000000000001563,5.275382050040925,139.6067184047278,0.961426770618231,5964,3.9260969976905313,1.044838777769567,11.725,-182.2378048780488,142.0,2.197057,6,328,60.0,120.0,104.0,113.0,118.0,134.0,139.0,139.0,59.997482,119.891629,,2158,403,476,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-10-05-31.pcap.gz
1,2022-05-31 11:28:07.568745,can_tapper15,"rgb(55,126,184)",PG1_est,121.0,114.0,121.0,5.785123966942149,52.857142857142826,120.0,0.5672713632315556,1500,-35.019999999991406,-5.019999999991406,46.24999999999997,0.0,446.0,446.0,0.779423,,0.001569506726457399,,synchronized_peak_current_voltage_drop,0.9000000000095199,0.26000000000004064,119.99999999999996,139.29310147022696,0.18079863802272755,5954,4.989154013015185,1.2008232005104786,13.941666666666666,-125.64379084967321,270.0,2.27187,7,306,60.0,120.0,114.0,120.0,126.0,130.0,134.0,122.0,59.776549,119.874993,3572.743992,2157,415,572,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-11-05-31.pcap.gz
1,2022-05-31 11:28:07.568745,can_tapper15,"rgb(55,126,184)",PG2,120.0,114.0,114.0,5.0,46.24999999999997,120.0,0.696053642690802,1500,-35.019999999991406,-5.019999999991406,46.24999999999997,0.0,446.0,446.0,0.779423,0.0013452914798206277,0.0013452914798206277,0.0013452914798206277,synchronized_peak_current_voltage_drop,0.6800000000094855,0.020000000000003126,119.99999999999996,140.34162617615547,0.18649273984864023,5965,1.0845986984815619,0.494494875135565,13.941666666666666,-125.64379084967321,270.0,2.27187,7,306,60.0,120.0,114.0,119.0,127.0,131.0,134.0,123.0,59.776549,119.874993,3572.743992,2157,415,572,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-11-05-31.pcap.gz
1,2022-05-31 11:28:07.568745,can_tapper15,"rgb(55,126,184)",PG3_est,121.0,113.0,113.0,6.6115702479338845,52.857142857142826,120.0,1.636836283038014,1500,-35.019999999991406,-5.019999999991406,46.24999999999997,0.0,446.0,446.0,0.779423,0.0017937219730941704,0.0017937219730941704,0.001569506726457399,synchronized_peak_current_voltage_drop,0.6800000000094855,0.5000000000000782,119.99999999999996,139.6349721260414,0.18301802783095655,5965,1.9522776572668112,0.5470788478873362,13.941666666666666,-125.64379084967321,270.0,2.27187,7,306,60.0,120.0,113.0,119.0,127.0,131.0,135.0,123.0,59.776549,119.874993,3572.743992,2157,415,572,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-11-05-31.pcap.gz
1,2022-05-31 11:28:07.568745,can_tapper15,"rgb(55,126,184)",PG4,121.0,113.0,113.0,6.6115702479338845,52.857142857142826,120.0,1.636836283038014,1500,-35.019999999991406,-5.019999999991406,46.24999999999997,0.0,446.0,446.0,0.779423,0.0017937219730941704,0.0017937219730941704,0.001569506726457399,synchronized_peak_current_voltage_drop,0.6800000000094855,0.5000000000000782,119.99999999999996,139.6349721260414,0.18301802783095655,5965,1.9522776572668112,0.5470788478873362,13.941666666666666,-125.64379084967321,270.0,2.27187,7,306,60.0,120.0,113.0,119.0,127.0,131.0,135.0,123.0,59.776549,119.874993,3572.743992,2157,415,572,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-11-05-31.pcap.gz
2,2022-05-31 11:29:12.108839,can_tapper15,"rgb(77,175,74)",PG1_est,122.0,114.0,118.0,6.557377049180328,60.0,125.0,-48.76548834020929,1500,-35.019999999991406,-5.019999999991406,90.0,0.0,270.0,270.0,0.986018,0.0014814814814814816,0.0029629629629629632,0.0025925925925925925,synchronized_peak_current_voltage_drop,0.4200000000094448,0.5000000000000782,119.99999999999996,121.3297678094854,0.22720575781857688,5978,4.0,1.1174094114252222,13.975,-102.95454545454545,435.0,2.087473,7,286,60.0,120.0,118.0,120.0,129.0,133.0,135.0,136.0,59.989101,119.885318,64.540094,2159,425,625,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-11-05-31.pcap.gz
2,2022-05-31 11:29:12.108839,can_tapper15,"rgb(77,175,74)",PG2,123.0,117.0,117.0,4.878048780487805,68.33333333333339,125.0,-51.95796975908945,1500,-35.019999999991406,-5.019999999991406,90.0,0.0,270.0,270.0,0.986018,0.0022222222222222222,0.0022222222222222222,0.0029629629629629632,synchronized_peak_current_voltage_drop,0.4200000000094448,0.020000000000003126,119.99999999999996,121.02803437869309,0.23949050907720115,5978,1.4736842105263157,0.5091492834672932,13.975,-102.95454545454545,435.0,2.087473,7,286,60.0,120.0,117.0,120.0,129.0,135.0,137.0,138.0,59.989101,119.885318,64.540094,2159,425,625,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-11-05-31.pcap.gz
2,2022-05-31 11:29:12.108839,can_tapper15,"rgb(77,175,74)",PG3_est,123.0,117.0,117.0,4.878048780487805,68.33333333333339,125.0,-50.14348895265373,1500,-35.019999999991406,-5.019999999991406,90.0,0.0,270.0,270.0,0.986018,0.0022222222222222222,0.0022222222222222222,0.0029629629629629632,synchronized_peak_current_voltage_drop,0.9400000000095261,0.020000000000003126,119.99999999999996,120.78317714480076,0.26291579832554834,5952,2.736842105263158,0.6684968656396129,13.975,-102.95454545454545,435.0,2.087473,7,286,60.0,120.0,117.0,121.0,130.0,134.0,136.0,137.0,59.989101,119.885318,64.540094,2159,425,625,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-11-05-31.pcap.gz
2,2022-05-31 11:29:12.108839,can_tapper15,"rgb(77,175,74)",PG4,123.0,117.0,117.0,4.878048780487805,68.33333333333339,125.0,-50.14348895265373,1500,-35.019999999991406,-5.019999999991406,90.0,0.0,270.0,270.0,0.986018,0.0022222222222222222,0.0022222222222222222,0.0029629629629629632,synchronized_peak_current_voltage_drop,0.9400000000095261,0.020000000000003126,119.99999999999996,120.78317714480076,0.26291579832554834,5952,2.736842105263158,0.6684968656396129,13.975,-102.95454545454545,435.0,2.087473,7,286,60.0,120.0,117.0,121.0,130.0,134.0,136.0,137.0,59.989101,119.885318,64.540094,2159,425,625,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-11-05-31.pcap.gz
3,2022-05-31 11:31:08.194613,can_tapper15,"rgb(152,78,163)",PG1_est,124.0,116.0,116.0,6.451612903225806,78.00000000000004,124.0,-8.626226056098869,1500,-35.019999999991406,-5.019999999991406,78.00000000000004,24.0,435.0,411.0,0.787474,0.0019464720194647203,0.0019464720194647203,0.0019464720194647203,synchronized_peak_current_voltage_drop,0.6800000000094855,0.5000000000000782,45.88440927560299,119.94073022646934,0.3905549557114171,5965,1.0309278350515463,0.34814040436234817,14.025,0.2054794520547945,491.0,2.791624,7,219,60.0,120.0,116.0,122.0,130.0,134.0,130.0,122.0,59.99988,119.887243,116.085774,2158,345,364,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-11-05-31.pcap.gz
3,2022-05-31 11:31:08.194613,can_tapper15,"rgb(152,78,163)",PG2,123.0,117.0,117.0,4.878048780487805,68.33333333333339,124.0,-9.294021908452525,1500,-35.019999999991406,-5.019999999991406,78.00000000000004,24.0,435.0,411.0,0.787474,0.00145985401459854,0.00145985401459854,0.00170316301703163,synchronized_peak_current_voltage_drop,0.6800000000094855,0.020000000000003126,51.74336368726529,118.97535168271341,0.42901923589187074,5965,1.079913606911447,0.5214055757227652,14.025,0.2054794520547945,491.0,2.791624,7,219,60.0,120.0,117.0,122.0,130.0,136.0,128.0,123.0,59.99988,119.887243,116.085774,2158,345,364,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-19_CP-36\20220927\can_Tapper15-05-31-11-05-31.pcap.gz
