start_index,start_time,can_tapper_id,start_color,V_pre_total_1_10V,V_min_total_1_10V,V_ocv_total_1_10V,V_drop_total_pct,soc_pct_est_pack,soc_pct_est_ocv_pack,V_ocv_slope_mV_per_s_max,n_ocv_samples_min,temp_avg_start_C,I_pre_A,I_load_A,delta_I_A,t_load_s,I_mean_post_A,I_max_post_A,t_charge_onset_s,R_internal_est_ohm_pack,R_internal_est_ohm_min_voltage_method_pack,R_internal_est_ohm_from_ocv_pack,max_abs_imbalance_pct_pack,mean_abs_imbalance_pct_pack,t_recovery_s_max,tau_relax_s_median,relax_fit_r2_min,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,t_before_s,t_after_s
0,2025-11-05 12:30:17.330882,can_tapper30,"rgb(228,26,28)",497.0,442.0,499.0,11.066398390342053,81.00000000000004,87.00000000000001,6.369149497398741,1500,10.866666666666667,20.0,290.0,270.0,1.593917,-11.243055555555555,154.0,2.102599,0.012962962962962964,0.020370370370370372,0.013703703703703706,9.936575052854122,1.1451700424596936,1.5000000000002345,2.892719705486028,0.269989535040849,59.945714,119.914774,,2160,381,492,60.0,120.0
1,2025-11-05 12:33:27.143982,can_tapper30,"rgb(55,126,184)",509.0,474.0,511.0,6.8762278978389,100.0,100.0,8.027071775364446,699,10.9125,15.0,428.0,413.0,0.856731,-6.147826086956521,26.0,2.355431,0.005326876513317191,0.00847457627118644,0.0058111380145278455,6.720977596741344,0.8603063597997381,0.7600000000001188,119.99999999999996,0.2362641377161765,17.002364,94.042418,189.8131,1335,253,283,60.0,120.0
2,2026-02-24 13:38:46.840428,can_tapper30,"rgb(77,175,74)",492.0,431.0,496.0,12.398373983739837,68.33333333333339,78.00000000000004,1.3363205939198848,1500,10.008333333333335,18.0,432.0,414.0,1.101073,-27.55128205128205,40.0,2.098573,0.009661835748792272,0.014734299516908213,0.010628019323671498,11.060948081264108,0.8654478313568282,1.0200000000001594,2.565174071178317,0.6848540579265926,59.911745,119.990505,9594319.696446,2160,443,578,60.0,120.0
3,2026-03-02 13:32:31.511431,can_tapper30,"rgb(152,78,163)",496.0,430.0,500.0,13.306451612903224,78.00000000000004,90.0,4.760926560410991,1500,12.790000000000001,0.0,357.0,357.0,0.537075,-19.20216606498195,145.0,2.045993,0.009523809523809526,0.018487394957983197,0.010644257703081231,20.346320346320347,2.0323260426963246,1.5000000000002345,2.27471676670449,0.6597208847422893,59.933877,119.945225,518024.671003,2160,348,598,60.0,120.0
4,2026-03-02 15:27:46.041950,can_tapper30,"rgb(255,127,0)",508.0,468.0,508.0,7.874015748031496,100.0,100.0,1.6527483802237072e-14,1500,16.875,12.0,456.0,444.0,0.926206,-15.247349823321555,2.0,3.426537,0.006081081081081081,0.009009009009009009,0.006081081081081081,5.410821643286573,0.679367662656313,0.5000000000000782,2.0171482422437275,0.689990248176116,59.89465,119.975001,6914.530519,2160,451,558,60.0,120.0
5,2026-03-05 11:55:58.135259,can_tapper30,"rgb(255,255,51)",503.0,452.0,504.0,10.139165009940358,93.75,95.0,0.6404802846579267,1500,15.330000000000002,16.0,365.0,349.0,1.084044,-24.00990099009901,55.0,2.084023,0.01174785100286533,0.014613180515759312,0.012034383954154728,9.482758620689655,1.299526984768497,1.5000000000002345,1.7887444673306678,0.5237484416619413,59.965774,119.943418,246492.093309,2159,363,599,60.0,120.0
6,2026-03-05 12:42:01.080873,can_tapper30,"rgb(166,86,40)",502.0,449.0,504.0,10.557768924302788,92.5,95.0,0.9421070853808071,1500,16.05,0.0,458.0,458.0,1.108225,-21.775919732441473,138.0,2.111225,0.008733624454148471,0.011572052401746726,0.009170305676855894,3.6559139784946235,0.8415894560303292,1.260000000000197,2.0171482422437275,0.5455497185265705,59.990499,119.937125,2762.945614,2160,432,480,60.0,120.0
7,2026-03-05 13:27:40.653327,can_tapper30,"rgb(247,129,191)",507.0,448.0,511.0,11.637080867850099,98.75,100.0,1.9013964006202089,1500,14.733333333333334,0.0,481.0,481.0,1.052549,-18.756849315068493,345.0,2.05112,0.009563409563409564,0.012266112266112267,0.010395010395010394,15.079365079365079,1.8608910067747177,1.260000000000197,1.406595676542853,0.19223513287981164,59.909199,119.893449,2739.572454,2158,403,554,60.0,120.0
8,2026-03-05 13:28:40.470571,can_tapper30,"rgb(153,153,153)",520.0,463.0,569.0,10.961538461538462,100.0,100.0,49.147168509845784,1500,16.73,13.0,345.0,332.0,1.15393,-16.802816901408452,131.0,2.152499,0.013554216867469882,0.017168674698795183,0.028313253012048192,13.043478260869565,0.6595323361556806,1.5000000000002345,1.7887444673306678,0.31279098583351406,59.961419,119.852556,59.817244,2158,439,779,60.0,120.0
9,2026-03-05 13:44:01.778648,can_tapper30,"rgb(228,26,28)",507.0,449.0,508.0,11.439842209072978,98.75,100.0,0.14559117581834013,1500,16.875,16.0,382.0,366.0,1.157816,-17.945945945945947,21.0,2.154569,0.010928961748633882,0.01584699453551913,0.011202185792349727,9.327548806941431,1.1734808756983401,1.5000000000002345,2.0171482422437275,0.4246666506780461,59.958675,119.942776,921.308077,2159,393,678,60.0,120.0
10,2026-03-05 14:19:21.302862,can_tapper30,"rgb(55,126,184)",504.0,445.0,508.0,11.706349206349206,95.0,100.0,1.0691115862712706,1500,17.2,16.5,343.0,326.5,1.071936,-17.179810725552052,155.0,2.168882,0.016539050535987747,0.01807044410413476,0.01776416539050536,17.29957805907173,0.8048790042554127,1.5000000000002345,1.7887444673306678,0.2911307459020631,59.829764,119.815616,2119.524214,2157,390,644,60.0,120.0
11,2026-03-05 15:52:30.440835,can_tapper30,"rgb(77,175,74)",500.0,455.0,504.0,9.0,90.0,95.0,1.0189871195494493,1500,18.205000000000002,17.0,316.0,299.0,1.351948,-28.331189710610932,18.0,3.037988,0.011705685618729096,0.015050167224080266,0.013043478260869566,13.333333333333334,0.537641702279205,1.0000000000001563,2.565174071178317,0.38852653770543444,59.980377,119.831574,5589.137973,2158,417,645,60.0,120.0
12,2026-03-05 16:15:49.734753,can_tapper30,"rgb(152,78,163)",500.0,455.0,504.0,9.0,90.0,95.0,0.48116465829517513,1500,18.333333333333332,0.0,328.0,328.0,1.05675,-27.75465838509317,16.0,2.057851,0.009451219512195122,0.013719512195121953,0.010670731707317074,8.786610878661088,0.744064426701495,1.0000000000001563,1.7887444673306678,0.4079353751861051,59.884906,119.995974,1399.293918,2160,400,586,60.0,120.0
13,2026-03-05 16:43:17.579715,can_tapper30,"rgb(255,127,0)",522.0,475.0,531.0,9.003831417624522,100.0,100.0,9.762759894558135,1500,18.725,18.0,282.0,264.0,1.391356,-7.352564102564102,221.0,2.090806,0.01628787878787879,0.017803030303030303,0.019696969696969695,6.719367588932807,0.8432933418022448,1.0000000000001563,1.7887444673306678,0.18231699454351713,59.946893,119.967082,1647.844962,2160,440,433,60.0,120.0
14,2026-03-05 17:29:13.625330,can_tapper30,"rgb(255,255,51)",500.0,458.0,504.0,8.4,90.0,95.0,0.8885692838080796,1500,18.825,0.0,309.0,309.0,1.233236,-28.621993127147768,17.0,2.331747,0.009061488673139158,0.013592233009708738,0.010355987055016183,7.23404255319149,0.667775151254681,0.7600000000001188,2.0171482422437275,0.35733505316297876,59.993214,119.907139,2756.045615,2160,424,597,60.0,120.0
15,2026-03-05 20:46:52.754628,can_tapper30,"rgb(166,86,40)",500.0,455.0,503.0,9.0,90.0,93.75,1.2905250180107133,1500,18.75,16.0,333.0,317.0,1.254695,-58.61371841155235,20.0,2.257525,0.008517350157728707,0.014195583596214513,0.00946372239747634,13.807531380753138,0.8009052693434187,1.0000000000001563,3.2620894576029285,0.7652888098300479,59.996124,119.885846,11859.129298,2160,395,599,60.0,120.0
16,2026-03-06 09:02:58.564117,can_tapper30,"rgb(247,129,191)",499.0,452.0,500.0,9.418837675350701,87.00000000000001,90.0,4.156167692041187e-14,1500,14.075,21.0,360.0,339.0,1.296615,-35.1797385620915,145.0,2.397399,0.011799410029498525,0.013864306784660767,0.012094395280235988,10.882956878850102,0.8631084591284388,1.2400000000001938,2.565174071178317,0.6010336827608538,59.99836,119.947969,44165.809489,2160,369,674,60.0,120.0
17,2026-03-06 22:26:07.747308,can_tapper30,"rgb(153,153,153)",496.0,455.0,500.0,8.266129032258064,78.00000000000004,90.0,4.6669265186332956,1500,18.525,15.0,302.0,287.0,1.221996,-66.54838709677419,18.0,2.711527,0.011149825783972125,0.014285714285714287,0.012543554006968641,7.296137339055794,0.8402406652169265,0.5000000000000782,1.7887444673306678,0.5044976360474681,59.873955,119.9547,48189.183191,2159,450,697,60.0,120.0
