start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
0,2025-11-06 14:12:46.431860,can_tapper31,2025-11-06 14:12:46.431860,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
0,2025-11-06 14:12:46.431860,can_tapper31,2025-11-06 14:12:48.241635,1.809775,Engine running command,Engine Status,status,"rgb(228,26,28)"
0,2025-11-06 14:12:46.431860,can_tapper31,2025-11-06 14:12:48.526364,2.094504,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
0,2025-11-06 14:12:46.431860,can_tapper31,2025-11-06 14:14:10.126668,83.694808,Engine running command,Engine Status,status,"rgb(228,26,28)"
0,2025-11-06 14:12:46.431860,can_tapper31,2025-11-06 14:14:10.575546,84.143686,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
1,2025-11-06 14:14:08.552028,can_tapper31,2025-11-06 14:14:08.552028,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
1,2025-11-06 14:14:08.552028,can_tapper31,2025-11-06 14:14:10.126668,1.57464,Engine running command,Engine Status,status,"rgb(55,126,184)"
1,2025-11-06 14:14:08.552028,can_tapper31,2025-11-06 14:14:10.575546,2.023518,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
2,2025-11-20 08:14:06.445153,can_tapper31,2025-11-20 08:14:06.445153,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
2,2025-11-20 08:14:06.445153,can_tapper31,2025-11-20 08:14:08.343328,1.898175,Engine running command,Engine Status,status,"rgb(77,175,74)"
2,2025-11-20 08:14:06.445153,can_tapper31,2025-11-20 08:14:08.552627,2.107474,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
3,2025-11-20 10:57:23.914498,can_tapper31,2025-11-20 10:57:23.914498,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
3,2025-11-20 10:57:23.914498,can_tapper31,2025-11-20 10:57:25.898837,1.984339,Engine running command,Engine Status,status,"rgb(152,78,163)"
3,2025-11-20 10:57:23.914498,can_tapper31,2025-11-20 10:57:26.219396,2.304898,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
3,2025-11-20 10:57:23.914498,can_tapper31,2025-11-20 10:58:28.384672,64.470174,Engine running command,Engine Status,status,"rgb(152,78,163)"
3,2025-11-20 10:57:23.914498,can_tapper31,2025-11-20 10:58:30.451166,66.536668,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
4,2025-11-20 10:58:26.723365,can_tapper31,2025-11-20 10:58:26.723365,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
4,2025-11-20 10:58:26.723365,can_tapper31,2025-11-20 10:58:28.384672,1.661307,Engine running command,Engine Status,status,"rgb(255,127,0)"
4,2025-11-20 10:58:26.723365,can_tapper31,2025-11-20 10:58:30.451166,3.727801,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
5,2025-11-20 11:16:59.947622,can_tapper31,2025-11-20 11:16:59.947622,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
5,2025-11-20 11:16:59.947622,can_tapper31,2025-11-20 11:17:01.723853,1.776231,Engine running command,Engine Status,status,"rgb(255,255,51)"
5,2025-11-20 11:16:59.947622,can_tapper31,2025-11-20 11:17:01.970448,2.022826,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,255,51)"
6,2025-11-20 11:20:24.319996,can_tapper31,2025-11-20 11:20:24.319996,0.0,Engine starting command,Engine Status,status,"rgb(166,86,40)"
6,2025-11-20 11:20:24.319996,can_tapper31,2025-11-20 11:20:26.035150,1.715154,Engine running command,Engine Status,status,"rgb(166,86,40)"
6,2025-11-20 11:20:24.319996,can_tapper31,2025-11-20 11:20:26.371321,2.051325,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(166,86,40)"
7,2025-11-20 11:23:08.330320,can_tapper31,2025-11-20 11:23:08.330320,0.0,Engine starting command,Engine Status,status,"rgb(247,129,191)"
7,2025-11-20 11:23:08.330320,can_tapper31,2025-11-20 11:23:09.693569,1.363249,Engine running command,Engine Status,status,"rgb(247,129,191)"
7,2025-11-20 11:23:08.330320,can_tapper31,2025-11-20 11:23:10.362772,2.032452,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
7,2025-11-20 11:23:08.330320,can_tapper31,2025-11-20 11:24:16.055371,67.725051,Engine running command,Engine Status,status,"rgb(247,129,191)"
7,2025-11-20 11:23:08.330320,can_tapper31,2025-11-20 11:24:16.289869,67.959549,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(247,129,191)"
8,2025-11-20 11:24:14.388589,can_tapper31,2025-11-20 11:24:14.388589,0.0,Engine starting command,Engine Status,status,"rgb(153,153,153)"
8,2025-11-20 11:24:14.388589,can_tapper31,2025-11-20 11:24:16.055371,1.666782,Engine running command,Engine Status,status,"rgb(153,153,153)"
8,2025-11-20 11:24:14.388589,can_tapper31,2025-11-20 11:24:16.289869,1.90128,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(153,153,153)"
9,2025-11-27 15:08:16.519270,can_tapper31,2025-11-27 15:08:16.519270,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
9,2025-11-27 15:08:16.519270,can_tapper31,2025-11-27 15:08:14.414099,-2.105171,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
9,2025-11-27 15:08:16.519270,can_tapper31,2025-11-27 15:08:18.223974,1.704704,Engine running command,Engine Status,status,"rgb(228,26,28)"
10,2025-11-28 09:04:01.793514,can_tapper31,2025-11-28 09:04:01.793514,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
10,2025-11-28 09:04:01.793514,can_tapper31,2025-11-28 09:03:59.687496,-2.106018,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
10,2025-11-28 09:04:01.793514,can_tapper31,2025-11-28 09:04:03.541588,1.748074,Engine running command,Engine Status,status,"rgb(55,126,184)"
11,2025-12-16 12:47:37.947398,can_tapper31,2025-12-16 12:47:37.947398,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
11,2025-12-16 12:47:37.947398,can_tapper31,2025-12-16 12:47:39.379087,1.431689,Engine running command,Engine Status,status,"rgb(77,175,74)"
12,2025-12-17 10:47:07.005753,can_tapper31,2025-12-17 10:47:07.005753,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
12,2025-12-17 10:47:07.005753,can_tapper31,2025-12-17 10:47:05.101655,-1.904098,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
12,2025-12-17 10:47:07.005753,can_tapper31,2025-12-17 10:47:08.605201,1.599448,Engine running command,Engine Status,status,"rgb(152,78,163)"
12,2025-12-17 10:47:07.005753,can_tapper31,2025-12-17 10:48:28.486683,81.48093,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
12,2025-12-17 10:47:07.005753,can_tapper31,2025-12-17 10:48:31.698684,84.692931,Engine running command,Engine Status,status,"rgb(152,78,163)"
13,2025-12-17 10:48:30.392632,can_tapper31,2025-12-17 10:48:30.392632,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
13,2025-12-17 10:48:30.392632,can_tapper31,2025-12-17 10:48:28.486683,-1.905949,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(255,127,0)"
13,2025-12-17 10:48:30.392632,can_tapper31,2025-12-17 10:48:31.698684,1.306052,Engine running command,Engine Status,status,"rgb(255,127,0)"
14,2026-02-12 10:52:33.295564,can_tapper31,2026-02-12 10:52:33.295564,0.0,Engine starting command,Engine Status,status,"rgb(255,255,51)"
