start_index,start_time,can_tapper_id,window_start,window_end,temp_avg_start_C,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,FILE_NAME_ORIGIN
0,2025-11-05 12:40:22.001438,can_tapper33,2025-11-05 12:39:22.001438,2025-11-05 12:42:22.001438,12.25,18.806222,114.966625,,1606,300,386,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2025-11-05\can_tapper33-11-05-11-37-52.pcap.gz
1,2025-11-05 12:43:16.082995,can_tapper33,2025-11-05 12:42:16.082995,2025-11-05 12:45:16.082995,14.45,59.864956,102.86461,174.081557,1492,251,343,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-05-11-40-44.pcap.gz
2,2025-11-19 11:06:52.125120,can_tapper33,2025-11-19 11:05:52.125120,2025-11-19 11:08:52.125120,4.4,59.977102,119.983801,1203816.042125,2160,451,667,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-19-09-07-57.pcap.gz
3,2025-11-19 11:07:53.542695,can_tapper33,2025-11-19 11:06:53.542695,2025-11-19 11:09:53.542695,4.375,59.988056,119.928579,61.417575,2159,431,610,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-19-09-07-57.pcap.gz
4,2025-11-19 11:23:25.514138,can_tapper33,2025-11-19 11:22:25.514138,2025-11-19 11:25:25.514138,4.625,59.982049,119.846605,931.971443,2160,387,415,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-19-10-16-13.pcap.gz
5,2025-11-19 14:12:27.123327,can_tapper33,2025-11-19 14:11:27.123327,2025-11-19 14:14:27.123327,7.3916666666666675,59.953821,119.867599,10141.609189,2160,460,505,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-19-13-07-52.pcap.gz
6,2025-11-19 14:16:00.708424,can_tapper33,2025-11-19 14:15:00.708424,2025-11-19 14:18:00.708424,7.333333333333334,59.984225,119.895182,213.585097,2160,541,600,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-19-13-07-52.pcap.gz
7,2025-11-19 14:18:20.755619,can_tapper33,2025-11-19 14:17:20.755619,2025-11-19 14:20:20.755619,7.2716666666666665,59.96117,119.935985,140.047195,2119,516,502,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-19-13-07-52.pcap.gz
8,2025-11-19 14:19:22.204925,can_tapper33,2025-11-19 14:18:22.204925,2025-11-19 14:21:22.204925,7.584999999999999,59.89312,119.956924,61.449306,2117,496,516,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-19-13-07-52.pcap.gz
9,2025-11-19 14:30:29.528479,can_tapper33,2025-11-19 14:29:29.528479,2025-11-19 14:32:29.528479,9.433333333333334,4.341142,37.197591,667.323554,501,104,125,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-19-13-28-05.pcap.gz
10,2025-11-25 09:50:41.669944,can_tapper33,2025-11-25 09:49:41.669944,2025-11-25 09:52:41.669944,3.35,7.79863,119.856359,501612.141465,1027,183,248,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-25-08-48-09.pcap.gz
11,2025-11-25 09:52:21.943700,can_tapper33,2025-11-25 09:51:21.943700,2025-11-25 09:54:21.943700,3.4,59.79409,92.835987,100.273756,1327,233,234,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-25-08-49-41.pcap.gz
12,2025-11-25 15:03:10.448164,can_tapper33,2025-11-25 15:02:10.448164,2025-11-25 15:05:10.448164,4.75,7.568083,119.984833,18648.504464,1532,301,316,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-25-14-00-38.pcap.gz
13,2025-11-27 10:13:24.067660,can_tapper33,2025-11-27 10:12:24.067660,2025-11-27 10:15:24.067660,2.66,59.898849,119.867738,155413.619496,1497,288,251,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-27-09-08-31.pcap.gz
14,2025-11-27 10:15:05.068284,can_tapper33,2025-11-27 10:14:05.068284,2025-11-27 10:17:05.068284,2.725,59.880999,119.942047,101.000624,1497,310,393,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-27-09-12-34.pcap.gz
15,2025-11-27 10:38:12.896297,can_tapper33,2025-11-27 10:37:12.896297,2025-11-27 10:40:12.896297,2.7266666666666666,59.974323,119.871981,1387.828013,2159,471,627,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-27-09-12-34.pcap.gz
16,2025-11-27 10:59:57.870735,can_tapper33,2025-11-27 10:58:57.870735,2025-11-27 11:01:57.870735,2.975,8.848289,119.987584,1304.974438,1548,342,534,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-27-09-57-22.pcap.gz
17,2025-11-27 11:15:15.798279,can_tapper33,2025-11-27 11:14:15.798279,2025-11-27 11:17:15.798279,3.25,13.352607,119.98273,917.927544,1602,348,340,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-27-10-12-35.pcap.gz
18,2025-11-27 11:30:25.404149,can_tapper33,2025-11-27 11:29:25.404149,2025-11-27 11:32:25.404149,3.475,59.933825,119.913644,909.60587,2158,415,400,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-27-10-12-35.pcap.gz
19,2025-11-27 11:41:56.879671,can_tapper33,2025-11-27 11:40:56.879671,2025-11-27 11:43:56.879671,3.6350000000000002,59.985569,119.980282,691.475522,2160,473,608,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-11-27-10-12-35.pcap.gz
20,2025-12-16 11:13:35.367525,can_tapper33,2025-12-16 11:12:35.367525,2025-12-16 11:15:35.367525,4.3,11.268273,119.98953,1639898.487854,855,109,103,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-12-16-10-10-43.pcap.gz
21,2025-12-16 11:15:35.263625,can_tapper33,2025-12-16 11:14:35.263625,2025-12-16 11:17:35.263625,,26.917345,119.759695,119.8961,1202,189,231,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-12-16-10-12-28.pcap.gz
22,2025-12-16 11:17:56.260386,can_tapper33,2025-12-16 11:16:56.260386,2025-12-16 11:19:56.260386,4.35,24.245182,7.781386,140.996761,346,47,37,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-12-16-10-14-51.pcap.gz
23,2025-12-16 11:58:53.589709,can_tapper33,2025-12-16 11:57:53.589709,2025-12-16 12:00:53.589709,6.541666666666667,24.759603,119.820356,2457.329323,1737,278,613,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-42_GNGP-22\2026-07-10\2022-09-07\can_tapper33-12-16-10-55-48.pcap.gz
