session,date,n_dis_pulses,n_chg_pulses,DCIR_dis [mΩ],DCIR_chg [mΩ],V_OCV [V],SoC_start [%],Q_dis [Ah],Q_chg [Ah],I_dis_peak [A],dur_dis_mean [s],V_eop_dis [V],V_recover_dis [V],CA_dVdt [mV/s],V_chg_peak [V],Eta_c [%],Temp [°C],Humidity [%],cycle,DCIR_dis [mΩ]_low_current_flag
2026-01-27_13-22-04,2026-01-27,7,2,55.11,80.8,12.304,68.7,0.7054,0.4151,-22.08,64.37,11.84,12.6,3.06,13.62,58.8,21.93,34.3,0,False
2026-02-13_10-56-48,2026-02-13,2,2,211.25,692.45,10.325,0.0,0.1565,0.4135,-4.21,107.55,10.2,11.12,0.18,12.23,264.2,21.2,37.4,10,True
2026-02-14_16-45-46,2026-02-14,6,2,42.5,71.15,12.967,100.0,0.7041,0.4152,-20.63,75.08,12.37,12.98,4.87,14.61,59.0,21.56,32.7,20,False
2026-02-17_09-49-25,2026-02-17,6,2,76.57,133.6,11.715,23.7,0.4778,0.4152,-13.78,75.03,11.04,11.69,1.62,12.41,86.9,22.53,30.7,30,True
2026-02-17_14-23-51,2026-02-17,6,2,50.55,74.7,12.964,100.0,0.703,0.4152,-20.64,75.07,12.27,12.97,2.82,14.03,59.1,22.53,30.7,30,False
2026-02-19_14-48-12,2026-02-19,6,2,96.07,171.85,11.773,27.5,0.4169,0.4152,-10.72,75.07,11.02,11.75,1.51,12.51,99.6,21.38,32.8,40,True
2026-02-20_02-04-23,2026-02-20,6,2,54.58,81.8,12.716,100.0,0.7031,0.4152,-20.65,75.07,12.06,12.84,3.39,14.11,59.1,23.58,33.1,50,False
2026-02-21_19-48-22,2026-02-21,6,2,98.85,178.0,11.842,32.1,0.4249,0.4152,-11.7,75.07,11.08,11.82,1.71,12.65,97.7,20.4,42.0,60,True
2026-02-23_09-56-49,2026-02-23,6,2,53.22,83.6,12.631,96.6,0.703,0.4152,-20.65,75.07,11.98,12.76,3.21,13.99,59.1,22.93,40.2,70,False
2026-02-24_16-25-08,2026-02-24,6,2,123.9,215.15,11.733,24.9,0.3733,0.4152,-9.26,74.68,10.96,11.66,1.57,12.59,111.2,22.88,47.6,80,True
2026-02-24_21-04-42,2026-02-24,6,2,52.97,78.25,12.86,100.0,0.7042,0.4152,-20.65,74.88,12.16,12.92,2.88,14.01,59.0,22.88,47.6,80,False
2026-02-26_11-07-41,2026-02-26,6,2,131.52,216.1,11.698,22.5,0.3662,0.4152,-8.71,74.65,10.97,11.72,1.62,12.66,113.4,21.65,49.0,90,True
2026-02-26_15-32-09,2026-02-26,6,2,52.37,78.0,12.807,100.0,0.6993,0.4148,-20.68,74.68,12.13,12.9,2.83,13.98,59.3,21.65,49.0,90,False
2026-03-08_11-09-21,2026-03-08,6,2,100.53,187.7,11.979,41.4,0.4432,0.4152,-11.92,75.05,11.18,11.98,1.8,12.87,93.7,24.01,40.3,100,True
2026-03-08_16-49-15,2026-03-08,6,2,54.02,80.95,12.738,100.0,0.703,0.4152,-20.61,75.05,12.07,12.84,2.87,13.95,59.1,24.01,40.3,100,False
2026-03-09_20-03-08,2026-03-09,6,2,128.82,228.7,11.876,34.4,0.3726,0.4152,-9.8,75.07,11.04,11.86,1.57,12.78,111.4,22.77,44.8,110,True
2026-03-10_06-30-46,2026-03-10,7,2,56.67,81.05,12.718,100.0,0.7038,0.4155,-22.58,64.37,12.14,12.96,3.06,14.01,59.0,24.41,42.8,120,False
2026-03-11_13-36-41,2026-03-11,6,2,115.28,213.15,12.027,44.8,0.3929,0.4154,-10.98,74.57,11.15,12.0,1.72,12.9,105.7,22.4,45.5,130,True
2026-03-11_19-57-57,2026-03-11,6,2,53.32,80.6,12.78,100.0,0.703,0.4152,-20.65,75.05,12.09,12.88,2.71,13.94,59.1,22.4,45.5,130,False
