file,dt,date,block,session,ocv_filename [V],soc_nominal [%],n_dis_pulses,n_chg_pulses,DCIR_dis [mΩ],V_min [V],V_mean_dis [V],I_peak_dis [A],Q_dis [Ah],Q_chg [Ah],E_dis [Wh],V_eop_dis [V],V_recover_dis [V],CA_dVdt [mV/s],Temp [°C],Humidity [%],linked_soh_pct
SoCsweep_OCV12p14V_testday_bdps_2026-06-18_14-32-54.csv,2026-06-18 14:32:54,2026-06-18,,2026-06-18_14-32-54,12.14,42.5,5,1,1802.84,10.193,10.227,-3.41,0.0025,0.0002,0.029,10.26,11.86,,24.8,59.2,50.3
SoCsweep_OCV12p15V_testday_bdps_2026-06-18_14-32-54.csv,2026-06-18 14:32:54,2026-06-18,,2026-06-18_14-32-54,12.15,43.8,6,2,1483.75,10.193,10.21,-4.33,0.0063,0.0002,0.069,10.23,11.86,,24.8,59.2,50.3
SoCsweep_OCV12p16V_testday_bdps_2026-06-18_14-32-54.csv,2026-06-18 14:32:54,2026-06-18,,2026-06-18_14-32-54,12.16,45.0,6,2,1056.82,9.968,10.204,-5.98,0.026,0.0002,0.271,10.2,11.9,,24.9,59.1,50.3
SoCsweep_OCV12p17V_testday_bdps_2026-06-18_14-32-54.csv,2026-06-18 14:32:54,2026-06-18,,2026-06-18_14-32-54,12.17,46.3,6,2,667.63,9.976,10.283,-8.55,0.0804,0.0003,0.836,10.2,11.63,,24.9,58.8,50.3
SoCsweep_OCV12p23V_testday_bdps_2026-06-18_14-32-54.csv,2026-06-18 14:32:54,2026-06-18,,2026-06-18_14-32-54,12.23,53.8,7,2,117.7,10.101,11.452,-29.75,0.3859,0.0003,4.281,10.73,11.96,,25.1,58.3,50.3
SoCsweep_OCV12p35V_testday_bdps_2026-06-18_14-32-54.csv,2026-06-18 14:32:54,2026-06-18,,2026-06-18_14-32-54,12.35,68.8,6,2,67.27,10.193,11.896,-44.77,0.5586,0.0003,6.247,11.33,12.14,,25.3,57.9,50.3
SoCsweep_OCV12p44V_testday_bdps_2026-06-18_14-32-54.csv,2026-06-18 14:32:54,2026-06-18,,2026-06-18_14-32-54,12.44,78.0,6,2,55.92,10.143,12.031,-50.01,0.6408,0.0003,7.12,11.44,12.25,,25.3,57.8,50.3
SoCsweep_OCV12p56V_testday_bdps_2026-06-18_14-32-54.csv,2026-06-18 14:32:54,2026-06-18,,2026-06-18_14-32-54,12.56,88.3,6,1,49.57,9.951,12.163,-60.01,0.6997,0.0002,7.773,11.53,12.37,,25.1,58.2,50.3
SoCsweep_OCV13p24V_testday_bdps_2026-06-18_14-32-54.csv,2026-06-18 14:32:54,2026-06-18,,2026-06-18_14-32-54,13.24,100.0,6,1,47.73,10.376,12.55,-60.02,0.705,0.0001,8.122,11.91,12.72,,25.1,59.8,50.3
SoCsweep_OCV12p31V_testday_bdps_2026-06-21_14-29-53.csv,2026-06-21 14:29:53,2026-06-21,,2026-06-21_14-29-53,12.31,63.8,6,0,1499.33,10.143,10.203,-4.87,0.0259,0.0,0.269,10.22,12.21,,27.8,57.5,43.7
SoCsweep_OCV12p32V_testday_bdps_2026-06-21_14-29-53.csv,2026-06-21 14:29:53,2026-06-21,,2026-06-21_14-29-53,12.32,65.0,7,1,1206.01,10.143,10.223,-5.69,0.033,0.0001,0.343,10.2,12.2,,27.8,57.5,43.7
SoCsweep_OCV12p33V_testday_bdps_2026-06-21_14-29-53.csv,2026-06-21 14:29:53,2026-06-21,,2026-06-21_14-29-53,12.33,66.3,6,1,1186.72,10.143,10.36,-7.13,0.067,0.0001,0.701,10.2,12.14,,27.9,57.2,43.7
SoCsweep_OCV12p34V_testday_bdps_2026-06-21_14-29-53.csv,2026-06-21 14:29:53,2026-06-21,,2026-06-21_14-29-53,12.34,67.5,6,1,940.07,9.918,10.608,-8.16,0.0956,0.0001,1.017,10.24,12.12,,27.9,57.2,43.7
SoCsweep_OCV12p35V_testday_bdps_2026-06-21_14-29-53.csv,2026-06-21 14:29:53,2026-06-21,,2026-06-21_14-29-53,12.35,68.8,7,1,331.87,10.068,10.922,-19.86,0.2476,0.0001,2.677,10.44,12.05,,27.9,57.0,43.7
SoCsweep_OCV12p39V_testday_bdps_2026-06-21_14-29-53.csv,2026-06-21 14:29:53,2026-06-21,,2026-06-21_14-29-53,12.39,73.0,6,2,176.33,10.051,11.292,-26.2,0.3263,0.0003,3.605,10.62,12.08,,27.82,56.9,43.7
SoCsweep_OCV12p46V_testday_bdps_2026-06-21_14-29-53.csv,2026-06-21 14:29:53,2026-06-21,,2026-06-21_14-29-53,12.46,80.0,6,2,117.62,10.193,11.632,-32.77,0.397,0.0003,4.466,10.95,12.16,,27.8,56.8,43.7
SoCsweep_OCV12p49V_testday_bdps_2026-06-21_14-29-53.csv,2026-06-21 14:29:53,2026-06-21,,2026-06-21_14-29-53,12.49,82.5,6,2,74.52,10.185,11.981,-43.22,0.5246,0.0003,5.91,11.35,12.26,,27.9,56.5,43.7
SoCsweep_OCV13p27V_testday_bdps_2026-06-21_14-29-53.csv,2026-06-21 14:29:53,2026-06-21,,2026-06-21_14-29-53,13.27,100.0,6,2,50.07,10.435,12.649,-60.02,0.7048,0.0003,8.165,11.99,12.83,,27.9,56.2,43.7
SoCsweep_OCV12p41V_testday_bdps_2026-06-23_14-04-44.csv,2026-06-23 14:04:44,2026-06-23,,2026-06-23_14-04-44,12.41,75.0,6,0,1692.18,10.185,10.202,-4.69,0.0162,0.0,0.17,10.22,12.31,,25.2,60.6,
SoCsweep_OCV12p42V_testday_bdps_2026-06-23_14-04-44.csv,2026-06-23 14:04:44,2026-06-23,,2026-06-23_14-04-44,12.42,76.0,6,0,1454.37,10.135,10.23,-5.58,0.0328,0.0,0.34,10.2,12.32,,25.27,60.3,
SoCsweep_OCV12p43V_testday_bdps_2026-06-23_14-04-44.csv,2026-06-23 14:04:44,2026-06-23,,2026-06-23_14-04-44,12.43,77.0,6,0,1368.67,10.135,10.261,-5.77,0.0411,0.0,0.428,10.2,12.29,,25.3,60.2,
