datetime,date,file,capacity_ah,v_final,complete,temp_c,humidity_pct,soh_pct,run_1,run_1_dt,dcir_1,run_1_cycle,run_2,run_2_dt,dcir_2,run_2_cycle,soh_cycle,sweep_session,sweep_session_dt,sweep_dcir_mean,sweep_n_runs
2025-12-16 14:05:57,2025-12-16,discharge_c5_2025-12-16_14-05-57_bdps.csv,12.820340097499999,10.7931,True,22.12,44.7,100.0,2026-01-27_13-22-04,2026-01-27 13:22:04,55.11,0,2026-02-13_10-56-48,2026-02-13 10:56:48,211.25,10,0,,,,
2025-12-16 14:07:12,2025-12-16,discharge_c5_2025-12-16_14-07-12_bdps.csv,12.820338283055557,10.7931,True,22.12,44.7,100.0,2026-01-27_13-22-04,2026-01-27 13:22:04,55.11,0,2026-02-13_10-56-48,2026-02-13 10:56:48,211.25,10,0,,,,
2026-02-16 20:55:57,2026-02-16,discharge_c5_2026-02-16_20-55-57_bdps.csv,14.08441930361111,10.7931,True,22.82,35.4,109.9,2026-02-17_09-49-25,2026-02-17 09:49:25,76.57,30,2026-02-17_14-23-51,2026-02-17 14:23:51,50.55,30,30,,,,
2026-02-19 10:03:21,2026-02-19,discharge_c5_2026-02-19_10-03-21_bdps.csv,11.962566959722224,10.7765,True,21.38,32.8,93.3,2026-02-19_14-48-12,2026-02-19 14:48:12,96.07,40,2026-02-20_02-04-23,2026-02-20 02:04:23,54.58,50,40,,,,
2026-02-21 12:24:29,2026-02-21,discharge_c5_2026-02-21_12-24-29_bdps.csv,11.37106753388889,10.7931,True,20.4,42.0,88.7,2026-02-21_19-48-22,2026-02-21 19:48:22,98.85,60,2026-02-23_09-56-49,2026-02-23 09:56:49,53.22,70,60,,,,
2026-02-24 13:00:22,2026-02-24,discharge_c5_2026-02-24_13-00-22_bdps.csv,11.033802696944443,10.7931,True,22.88,47.6,86.1,2026-02-24_16-25-08,2026-02-24 16:25:08,123.9,80,2026-02-24_21-04-42,2026-02-24 21:04:42,52.97,80,80,,,,
2026-02-26 08:17:08,2026-02-26,discharge_c5_2026-02-26_08-17-08_bdps.csv,10.05101062111111,10.7931,True,21.65,49.0,78.4,2026-02-26_11-07-41,2026-02-26 11:07:41,131.52,90,2026-02-26_15-32-09,2026-02-26 15:32:09,52.37,90,90,,,,
2026-03-07 11:41:08,2026-03-07,discharge_c5_2026-03-07_11-41-08_bdps.csv,9.782758289166669,10.7931,True,21.65,43.4,76.3,2026-03-08_11-09-21,2026-03-08 11:09:21,100.53,100,2026-03-08_16-49-15,2026-03-08 16:49:15,54.02,100,100,,,,
2026-03-09 17:07:40,2026-03-09,discharge_c5_2026-03-09_17-07-40_bdps.csv,9.538507548333333,10.7931,True,22.77,44.8,74.4,2026-03-09_20-03-08,2026-03-09 20:03:08,128.82,110,2026-03-10_06-30-46,2026-03-10 06:30:46,56.67,120,110,,,,
2026-03-12 17:12:22,2026-03-12,discharge_c5_2026-03-12_17-12-22_bdps.csv,9.137058326666667,10.7931,True,24.17,35.6,71.3,,,,,,,,,140,,,,
2026-06-05 16:16:23,2026-06-05,discharge_c5_2026-06-05_16-16-23_bdps.csv,8.20628820111111,10.7931,True,23.85,47.0,64.0,,,,,,,,,150,,,,
2026-06-20 13:54:14,2026-06-20,discharge_c5_2026-06-20_13-54-14_bdps.csv,6.442655839444445,10.7931,True,25.35,61.7,50.3,,,,,,,,,160,2026-06-18_14-32-54,2026-06-18 14:32:54,594.4,9
2026-06-23 11:51:08,2026-06-23,discharge_c5_2026-06-23_11-51-08_bdps.csv,5.596162011111111,10.7931,True,25.99,58.8,43.7,,,,,,,,,170,2026-06-21_14-29-53,2026-06-21 14:29:53,620.3,9
