,block,ocv_label_V,rest_baseline_Vmean,ocv_window_Vpre,wakeup_load_1_sag_V,wakeup_load_1_R_int_mohm,wakeup_load_2_sag_V,wakeup_load_2_R_int_mohm,glow_plug_like_load_1_Vmean,driving_aux_load_1_V_mean,driving_aux_load_1_V_std,driving_aux_load_1_R_int_est_mohm,ramp_like_load_1_V_mean,ramp_like_load_1_V_std,ramp_like_load_1_R_int_est_mohm,crank_cold_V_pre,crank_cold_V_min,crank_cold_I_peak_A,crank_cold_V_sustained,crank_cold_R_int_apparent_mohm,crank_hot_V_pre,crank_hot_V_min,crank_hot_I_peak_A,crank_hot_V_sustained,crank_hot_R_int_apparent_mohm,recovery_after_cold_V_plus30s,recovery_after_hot_V_plus30s,alternator_charge_after_cold_Ah,alternator_charge_after_cold_ratio_pct,total_ah_discharged,total_ah_charged,run_duration_s,min_voltage,final_voltage,block_c5_capacity_ah,soc_pct
block,1.0,0.594,0.611,0.625,0.576,0.756,0.058,-0.445,-0.443,-0.185,0.643,0.067,-0.414,-0.157,0.292,-0.386,-0.387,-0.549,-0.367,0.272,0.065,-0.384,-0.648,-0.358,0.523,-0.042,0.061,-0.35,0.563,-0.601,-0.558,0.022,-0.439,0.33,-0.984,0.617
ocv_label_V,0.594,1.0,0.997,0.99,0.017,0.391,0.414,-0.21,0.242,0.463,0.186,0.486,0.233,-0.534,-0.291,0.228,0.274,-0.605,0.248,-0.025,0.631,0.268,-0.759,0.243,-0.004,0.525,0.628,-0.568,0.562,-0.605,-0.776,-0.013,0.126,0.787,-0.595,0.992
rest_baseline_Vmean,0.611,0.997,1.0,0.997,0.018,0.384,0.444,-0.184,0.233,0.475,0.194,0.497,0.219,-0.563,-0.31,0.227,0.276,-0.592,0.248,-0.036,0.607,0.267,-0.755,0.247,-0.022,0.5,0.604,-0.57,0.548,-0.595,-0.779,-0.007,0.134,0.781,-0.613,0.989
ocv_window_Vpre,0.625,0.99,0.997,1.0,0.016,0.373,0.473,-0.156,0.226,0.487,0.2,0.506,0.207,-0.59,-0.329,0.229,0.279,-0.578,0.248,-0.05,0.58,0.269,-0.749,0.251,-0.041,0.473,0.577,-0.565,0.534,-0.583,-0.775,0.002,0.144,0.77,-0.627,0.983
wakeup_load_1_sag_V,0.576,0.017,0.018,0.016,1.0,0.679,-0.499,-0.367,-0.876,-0.7,0.857,-0.442,-0.866,0.357,0.558,-0.861,-0.901,-0.066,-0.847,0.378,-0.388,-0.856,-0.096,-0.847,0.759,-0.5,-0.394,0.139,0.191,-0.108,-0.004,0.043,-0.892,-0.208,-0.566,0.094
wakeup_load_1_R_int_mohm,0.756,0.391,0.384,0.373,0.679,1.0,-0.25,-0.739,-0.605,-0.521,0.654,-0.201,-0.493,0.151,0.572,-0.601,-0.62,-0.717,-0.553,0.518,0.089,-0.604,-0.68,-0.583,0.781,0.002,0.088,-0.31,0.816,-0.764,-0.515,-0.018,-0.712,0.252,-0.744,0.409
wakeup_load_2_sag_V,0.058,0.414,0.444,0.473,-0.499,-0.25,1.0,0.558,0.364,0.722,-0.305,0.568,0.315,-0.909,-0.759,0.547,0.616,-0.118,0.605,-0.281,0.049,0.557,-0.291,0.614,-0.685,0.017,0.049,-0.399,0.05,-0.107,-0.439,-0.036,0.666,0.212,-0.066,0.376
wakeup_load_2_R_int_mohm,-0.445,-0.21,-0.184,-0.156,-0.367,-0.739,0.558,1.0,0.264,0.531,-0.277,0.247,0.145,-0.434,-0.71,0.388,0.44,0.705,0.419,-0.428,-0.369,0.422,0.522,0.437,-0.796,-0.353,-0.368,0.237,-0.724,0.721,0.309,0.022,0.53,-0.305,0.424,-0.204
glow_plug_like_load_1_Vmean,-0.443,0.242,0.233,0.226,-0.876,-0.605,0.364,0.264,1.0,0.812,-0.694,0.568,0.903,-0.334,-0.582,0.876,0.926,0.058,0.842,-0.418,0.647,0.917,0.016,0.849,-0.66,0.704,0.65,-0.186,-0.174,0.087,-0.073,0.004,0.812,0.465,0.426,0.181
driving_aux_load_1_V_mean,-0.185,0.463,0.475,0.487,-0.7,-0.521,0.722,0.531,0.812,1.0,-0.441,0.753,0.707,-0.712,-0.834,0.836,0.905,0.105,0.821,-0.457,0.43,0.861,-0.113,0.851,-0.792,0.429,0.43,-0.27,-0.175,0.105,-0.244,0.053,0.808,0.446,0.163,0.42
driving_aux_load_1_V_std,0.643,0.186,0.194,0.2,0.857,0.654,-0.305,-0.277,-0.694,-0.441,1.0,-0.153,-0.731,0.206,0.445,-0.685,-0.712,-0.12,-0.679,0.284,-0.289,-0.656,-0.224,-0.655,0.619,-0.398,-0.293,0.043,0.253,-0.198,-0.092,0.137,-0.771,-0.064,-0.65,0.247
driving_aux_load_1_R_int_est_mohm,0.067,0.486,0.497,0.506,-0.442,-0.201,0.568,0.247,0.568,0.753,-0.153,1.0,0.458,-0.575,-0.518,0.58,0.648,-0.093,0.582,-0.316,0.368,0.617,-0.283,0.62,-0.462,0.337,0.367,-0.348,0.048,-0.095,-0.325,0.105,0.525,0.426,-0.097,0.448
ramp_like_load_1_V_mean,-0.414,0.233,0.219,0.207,-0.866,-0.493,0.315,0.145,0.903,0.707,-0.731,0.458,1.0,-0.209,-0.433,0.829,0.863,-0.075,0.818,-0.287,0.634,0.812,-0.064,0.804,-0.601,0.756,0.64,-0.175,-0.036,-0.032,-0.11,-0.035,0.743,0.452,0.404,0.158
ramp_like_load_1_V_std,-0.157,-0.534,-0.563,-0.59,0.357,0.151,-0.909,-0.434,-0.334,-0.712,0.206,-0.575,-0.209,1.0,0.82,-0.485,-0.554,0.157,-0.49,0.311,-0.147,-0.51,0.345,-0.518,0.584,-0.039,-0.141,0.429,-0.109,0.154,0.491,0.003,-0.597,-0.324,0.164,-0.515
ramp_like_load_1_R_int_est_mohm,0.292,-0.291,-0.31,-0.329,0.558,0.572,-0.759,-0.71,-0.582,-0.834,0.445,-0.518,-0.433,0.82,1.0,-0.659,-0.726,-0.252,-0.639,0.475,-0.183,-0.698,-0.067,-0.668,0.832,-0.103,-0.177,0.149,0.305,-0.284,0.162,0.033,-0.743,-0.254,-0.28,-0.275
crank_cold_V_pre,-0.386,0.228,0.227,0.229,-0.861,-0.601,0.547,0.388,0.876,0.836,-0.685,0.58,0.829,-0.485,-0.659,1.0,0.928,0.065,0.842,-0.354,0.487,0.859,-0.001,0.828,-0.744,0.537,0.489,-0.193,-0.185,0.093,-0.11,0.022,0.857,0.363,0.371,0.17
crank_cold_V_min,-0.387,0.274,0.276,0.279,-0.901,-0.62,0.616,0.44,0.926,0.905,-0.712,0.648,0.863,-0.554,-0.726,0.928,1.0,0.069,0.913,-0.466,0.502,0.926,-0.023,0.912,-0.805,0.564,0.505,-0.222,-0.183,0.093,-0.134,0.014,0.905,0.397,0.37,0.211
crank_cold_I_peak_A,-0.549,-0.605,-0.592,-0.578,-0.066,-0.717,-0.118,0.705,0.058,0.105,-0.12,-0.093,-0.075,0.157,-0.252,0.065,0.069,1.0,0.04,-0.32,-0.492,0.09,0.862,0.086,-0.404,-0.456,-0.492,0.561,-0.936,0.958,0.756,0.115,0.149,-0.546,0.538,-0.571
crank_cold_V_sustained,-0.367,0.248,0.248,0.248,-0.847,-0.553,0.605,0.419,0.842,0.821,-0.679,0.582,0.818,-0.49,-0.639,0.842,0.913,0.04,1.0,-0.366,0.45,0.876,-0.036,0.847,-0.748,0.509,0.456,-0.262,-0.136,0.06,-0.152,-0.056,0.835,0.333,0.358,0.184
crank_cold_R_int_apparent_mohm,0.272,-0.025,-0.036,-0.05,0.378,0.518,-0.281,-0.428,-0.418,-0.457,0.284,-0.316,-0.287,0.311,0.475,-0.354,-0.466,-0.32,-0.366,1.0,-0.056,-0.439,-0.237,-0.434,0.504,-0.082,-0.056,-0.067,0.391,-0.354,-0.158,-0.074,-0.47,-0.044,-0.25,-0.008
crank_hot_V_pre,0.065,0.631,0.607,0.58,-0.388,0.089,0.049,-0.369,0.647,0.43,-0.289,0.368,0.634,-0.147,-0.183,0.487,0.502,-0.492,0.45,-0.056,1.0,0.502,-0.46,0.414,-0.006,0.932,0.999,-0.414,0.409,-0.464,-0.479,-0.084,0.288,0.871,-0.067,0.597
crank_hot_V_min,-0.384,0.268,0.267,0.269,-0.856,-0.604,0.557,0.422,0.917,0.861,-0.656,0.617,0.812,-0.51,-0.698,0.859,0.926,0.09,0.876,-0.439,0.502,1.0,-0.007,0.862,-0.764,0.54,0.504,-0.215,-0.182,0.109,-0.089,-0.005,0.863,0.39,0.37,0.208
crank_hot_I_peak_A,-0.648,-0.759,-0.755,-0.749,-0.096,-0.68,-0.291,0.522,0.016,-0.113,-0.224,-0.283,-0.064,0.345,-0.067,-0.001,-0.023,0.862,-0.036,-0.237,-0.46,-0.007,1.0,-0.012,-0.289,-0.406,-0.459,0.588,-0.86,0.874,0.835,0.057,0.119,-0.597,0.637,-0.733
crank_hot_V_sustained,-0.358,0.243,0.247,0.251,-0.847,-0.583,0.614,0.437,0.849,0.851,-0.655,0.62,0.804,-0.518,-0.668,0.828,0.912,0.086,0.847,-0.434,0.414,0.862,-0.012,1.0,-0.769,0.481,0.419,-0.194,-0.171,0.094,-0.098,-0.001,0.855,0.322,0.335,0.179
crank_hot_R_int_apparent_mohm,0.523,-0.004,-0.022,-0.041,0.759,0.781,-0.685,-0.796,-0.66,-0.792,0.619,-0.462,-0.601,0.584,0.832,-0.744,-0.805,-0.404,-0.748,0.504,-0.006,-0.764,-0.289,-0.769,1.0,-0.094,-0.009,-0.008,0.471,-0.432,-0.111,-0.018,-0.858,0.012,-0.505,0.037
recovery_after_cold_V_plus30s,-0.042,0.525,0.5,0.473,-0.5,0.002,0.017,-0.353,0.704,0.429,-0.398,0.337,0.756,-0.039,-0.103,0.537,0.564,-0.456,0.509,-0.082,0.932,0.54,-0.406,0.481,-0.094,1.0,0.939,-0.341,0.361,-0.419,-0.388,-0.091,0.341,0.763,0.04,0.473
recovery_after_hot_V_plus30s,0.061,0.628,0.604,0.577,-0.394,0.088,0.049,-0.368,0.65,0.43,-0.293,0.367,0.64,-0.141,-0.177,0.489,0.505,-0.492,0.456,-0.056,0.999,0.504,-0.459,0.419,-0.009,0.939,1.0,-0.412,0.409,-0.464,-0.477,-0.083,0.289,0.868,-0.063,0.593
alternator_charge_after_cold_Ah,-0.35,-0.568,-0.57,-0.565,0.139,-0.31,-0.399,0.237,-0.186,-0.27,0.043,-0.348,-0.175,0.429,0.149,-0.193,-0.222,0.561,-0.262,-0.067,-0.414,-0.215,0.588,-0.194,-0.008,-0.341,-0.412,1.0,-0.502,0.568,0.704,0.087,-0.173,-0.513,0.352,-0.535
