feature,r_soc,r_this_block,r_next_block,n_next,quality
driving_aux_load_1_V_std,0.247,-0.919,-0.905,18,0.658
wakeup_load_1_sag_V,0.094,-0.682,-0.664,18,0.57
alternator_charge_after_cold_Ah,-0.535,0.854,0.895,18,0.36
crank_hot_R_int_apparent_mohm,0.037,-0.316,-0.35,18,0.313
crank_cold_I_peak_A,-0.571,0.73,0.779,18,0.208
run_duration_s,-0.007,-0.239,-0.203,18,0.196
crank_cold_R_int_apparent_mohm,-0.008,-0.275,-0.197,18,0.189
crank_hot_I_peak_A,-0.733,0.911,0.92,18,0.187
total_ah_discharged,-0.572,0.712,0.748,18,0.176
wakeup_load_1_R_int_mohm,0.409,-0.588,-0.571,18,0.162
total_ah_charged,-0.756,0.856,0.891,18,0.135
ramp_like_load_1_V_mean,0.158,0.305,0.22,18,0.062
wakeup_load_2_sag_V,0.376,-0.512,-0.437,18,0.061
recovery_after_cold_V_plus30s,0.473,0.567,0.503,18,0.03
alternator_charge_after_cold_ratio_pct,0.534,-0.526,-0.548,18,0.014
wakeup_load_2_R_int_mohm,-0.204,0.112,0.185,18,-0.019
ocv_window_Vpre,0.983,-0.928,-0.944,18,-0.039
ramp_like_load_1_V_std,-0.515,0.507,0.472,18,-0.043
min_voltage,0.066,0.081,0.02,18,-0.046
rest_baseline_Vmean,0.989,-0.909,-0.936,18,-0.053
crank_hot_V_sustained,0.179,0.161,0.119,18,-0.06
glow_plug_like_load_1_Vmean,0.181,0.177,0.117,18,-0.064
crank_hot_V_min,0.208,0.209,0.131,18,-0.077
crank_cold_V_pre,0.17,0.089,0.03,18,-0.14
driving_aux_load_1_R_int_est_mohm,0.448,-0.24,-0.29,18,-0.158
crank_cold_V_sustained,0.184,0.084,0.024,18,-0.16
crank_cold_V_min,0.211,0.084,0.024,18,-0.187
ramp_like_load_1_R_int_est_mohm,-0.275,-0.011,-0.044,18,-0.231
driving_aux_load_1_V_mean,0.42,-0.046,-0.096,18,-0.324
recovery_after_hot_V_plus30s,0.593,0.365,0.261,18,-0.332
crank_hot_V_pre,0.597,0.337,0.228,18,-0.369
final_voltage,0.759,-0.03,0.02,18,-0.739
