session_ts,session_date,t_cal,cycle_n,SOH,SOH_nominal,cumQ,V_start,V_end,dV_full,V_10,V_50,V_90,dV_2080,A_Vt,dV_CC,dVdt_CC,Q_d,E_d,dt_d,Q_c,E_c,f_Q_CV,eta_C,eta_E,dt_CC,dt_CV,f_t_CV,t_abs,R_DC,dV_IR,V_ICA,H_ICA,A_ICA,dVdQ_50,dT_d,dT_c,T_max_d,T_mean_d,R_th,ddT,V_ripple,t_cal,cumQ
2025-11-27_13-19-58,2025-11-27,0,1,1.0,0.0175246825154321,0.3154442852777778,12.185,11.9016,0.2834000000000003,11.6016,11.5349,11.5182,0.05010000000000048,11.554664891107793,-0.07500000000000107,-9.665585243784202e-05,0.3154442852777778,3.6436201177641676,127.19,0.006847886111111111,0.08562768103366665,0.0,46.06447597981373,42.551895295769924,114.25,,,114.25,0.050526678753767956,0.45474516145178695,11.5099,-1.9758619513031772,0.46618446498550414,-0.18709708793660415,,,,,,,,0,0.3154442852777778
2025-11-27_14-13-16,2025-11-27,0,1,0.0480309101107005,0.0008417264506172838,0.3305953613888889,11.885,12.0767,-0.19170000000000087,11.8183,11.7516,11.7349,0.041700000000000514,11.797310835694052,-0.09169999999999945,-0.00485284775800759,0.01515107611111111,0.17828177058894445,7.06,0.010093590000000001,0.12627040947758333,0.0,1.5010591980763146,1.4119045889416764,43.39,,,43.39,,,,,,,,,,,,,,0,0.3305953613888889
2025-12-09_14-46-34,2025-12-09,12,1,3.9600319488361273,0.06939830265432098,1.5797648091666665,12.0183,10.7931,1.2251999999999992,11.3516,11.1349,10.8848,0.3417000000000012,11.125614333460083,1.1585,0.0002580608444081144,1.2491694477777777,13.896204418581972,499.67,3.093762436666666,39.80502027349503,0.0,0.4037703195865546,0.3491068293170808,2062.7299999999996,,,2062.7299999999996,0.05786652595328698,0.520900000000001,11.2265,-1.3724190287113884,0.7631518660122426,-0.4388430477214223,,,,,,,,12,1.5797648091666665
2025-12-09_15-29-53,2025-12-09,12,1,3.7394811973606252,0.06553322075617284,2.7593627827777776,12.6684,11.6433,1.0251000000000001,11.9766,11.8016,11.6766,0.20010000000000083,11.81769787745846,,,1.179597973611111,13.938835340164138,471.84,,,,,,,,,,0.04725297936677345,0.4252059348319109,11.7683,-2.087071516610592,0.7145827112557375,-0.27271440291375293,0.5,,22.1,21.810314999183937,0.003970766392171027,,0.0016176978332652732,12,2.7593627827777776
2025-12-09_15-40-42,2025-12-09,12,1,0.07996192305229122,0.001401307314814815,2.7845863144444443,12.135,11.6683,0.46669999999999945,11.7516,11.6849,11.6683,0.049999999999998934,11.72078810703667,,,0.025223531666666667,0.29505056146174996,10.09,,,,,,,,,,0.04402802491103195,0.396186182161921,,,,,0.0,,22.4,22.400000000000002,0.0,,0.020971794266634942,12,2.7845863144444443
2025-12-09_15-41-25,2025-12-09,12,1,0.1599294783723063,0.002802713333333333,2.8350351544444443,12.11,11.6433,0.46669999999999945,11.7099,11.6599,11.6516,0.03330000000000055,11.679116476709613,,,0.05044883999999999,0.5886086136976388,20.18,,,,,,,,,,0.043089647812166385,0.3877421958377792,,,,,0.10000000000000142,,22.5,22.480191693290735,0.0009245543204360016,,0.016630959392695138,12,2.8350351544444443
2025-12-09_15-42-35,2025-12-09,12,1,6.100278463772067,0.10690544333333335,4.759333134444445,12.1017,10.7931,1.3085999999999984,11.5849,11.3266,10.9348,0.4750999999999994,11.294353209608687,0.583400000000001,0.0033650891621330057,1.9242979800000002,21.73204872871986,769.72,0.19768277222222225,2.427283981353417,0.0,9.734272533556076,8.953236990672348,131.8,,,131.8,0.044020192136630415,0.3961861312488874,11.5849,-2.4004481369988864,1.6346290501667342,-0.38627773697837964,0.8000000000000007,0.09999999999999787,23.3,22.89156307316079,0.00658172190955785,-0.7000000000000028,0.001020476556726511,12,4.759333134444445
2025-12-09_15-58-25,2025-12-09,12,1,1.2885733042906862,0.022581838055555553,5.165806219444445,11.6099,10.7931,0.8167999999999989,11.3099,10.9682,10.8348,0.3249999999999993,11.025595737745247,2.4754000000000005,0.00025678909503867566,0.40647308499999996,4.480570329350611,162.6,12.730066344722221,173.1272464608664,0.32722753235246893,0.03193016234110361,0.02588021481854618,5710.11,5090.2,0.4713012867223256,5711.13,,,10.8598,-0.958143452763327,0.36616737221666545,-1.1145455527943515,0.0,0.8000000000000007,23.4,23.4,0.0,0.8000000000000007,0.003912475293112776,12,5.165806219444445
2026-01-27_20-58-50,2026-01-27,61,1,25.901975013060653,0.45392388862654315,121.27791286138888,12.7601,10.7931,1.9669999999999987,11.9766,11.4182,10.9682,0.8001000000000005,11.498004400866526,2.1753,0.00028917048146919475,8.170629995277777,93.94363815833304,3268.22,9.228146306388888,125.74614270748064,0.2505510897085379,0.8854031702576101,0.7470896214834297,4611.08,6189.299999999999,0.5730631699995741,4612.1,0.05327841515474904,0.4794258187700093,11.9933,-8.214318206548954,5.569666853064381,-0.20820516409258033,0.3999999999999986,1.6000000000000014,20.8,20.47156071308443,0.003027782373635565,1.2000000000000028,0.0004474253318613831,61,121.27791286138888
2026-02-14_17-25-51,2026-02-14,79,1,45.81814449524199,0.8029484357253087,225.11928461861112,13.3852,10.7931,2.5920999999999985,12.385,11.9516,11.2599,0.7918000000000003,11.881173633342906,2.5504,0.0002523289651200255,14.453071843055557,171.7161390974083,5781.26,13.453355967222224,181.8563707544014,0.2176208213334208,1.0743097765545668,0.9442404375775894,7017.7,3783.2400000000007,0.3502695135793737,7018.72,0.0472669453833836,0.42540723514499074,12.285,-11.127581576148867,11.031784721224316,-0.08508795838191859,0.3999999999999986,1.5,21.0,20.738446805042383,0.0028938528490747278,1.1000000000000014,0.0003815586700433201,79,225.11928461861112
